"date","state","city","address","num_killed","num_injured","lat","long","num_casualties"
"August 5, 2018","Illinois","Chicago","900 block of S Karlov Ave",0,4,41.8781136,-87.6297982,4
"August 5, 2018","Illinois","Chicago","1600 block of S Avers Ave",0,4,41.8781136,-87.6297982,4
"August 5, 2018","Illinois","Chicago","1300 block of W 76th St",0,8,41.8781136,-87.6297982,8
"August 5, 2018","Illinois","Chicago","1300 block of S Millard Ave",1,5,41.8781136,-87.6297982,6
"August 4, 2018","Missouri","Kansas City","E 18th St and Highland Ave",0,6,39.0997265,-94.5785667,6
"August 4, 2018","Nevada","Las Vegas","3400 block of Coran Ln",0,6,36.1699412,-115.1398296,6
"August 4, 2018","Illinois","Chicago","1600 block of N Leclaire Ave",1,3,41.8781136,-87.6297982,4
"August 4, 2018","Wisconsin","Milwaukee","40th St and Vliet St",0,4,43.0389025,-87.9064736,4
"July 31, 2018","California","Gardena","1212 West 135th Street",2,3,33.8883487,-118.3089624,5
"July 30, 2018","Georgia","Savannah","12328 Largo Dr",0,4,32.0808989,-81.091203,4
"July 30, 2018","Illinois","Chicago","1200 block of S Avers Ave",0,4,41.8781136,-87.6297982,4
"July 29, 2018","Pennsylvania","York","100 block of E Maple St",0,4,39.9625984,-76.727745,4
"July 29, 2018","Arizona","Phoenix","2501 E Van Buren St",1,4,33.4483771,-112.0740373,5
"July 29, 2018","Michigan","Lansing","Spring and River Street",0,4,42.732535,-84.5555347,4
"July 28, 2018","Louisiana","New Orleans","3400 S Claiborne Ave",3,7,29.9510658,-90.0715323,10
"July 28, 2018","California","Los Angeles","8801 S Vermont Ave",2,4,34.0522342,-118.2436849,6
"July 27, 2018","Illinois","Chicago","1100 block of S Troy St",0,4,41.8781136,-87.6297982,4
"July 27, 2018","Texas","Robstown","603 East Avenue J",5,0,27.7903032,-97.6688843,5
"July 26, 2018","Ohio","Cleveland","18416 St Clair Ave",1,6,41.49932,-81.6943605,7
"July 26, 2018","California","Oakland","73rd Ave and Bancroft Ave",2,2,37.8043637,-122.2711137,4
"July 26, 2018","Texas","Dallas","3019 South Blvd",0,6,32.7766642,-96.7969879,6
"July 25, 2018","Louisiana","New Orleans","7000 block of Bullard Ave",0,4,29.9510658,-90.0715323,4
"July 23, 2018","Illinois","Chicago","6400 block of S May St",0,5,41.8781136,-87.6297982,5
"July 21, 2018","Maryland","Baltimore","1000 block of Dundalk Ave",0,4,39.2903848,-76.6121893,4
"July 21, 2018","Illinois","Chicago","3100 block of W Fulton St",2,5,41.8781136,-87.6297982,7
"July 20, 2018","Washington","Sunnyside","500 block of S 15th St",1,4,46.3237423,-120.0086538,5
"July 20, 2018","New Jersey","Elizabeth","323 Irvington Ave",0,4,40.6639916,-74.2107006,4
"July 18, 2018","Oklahoma","Oklahoma City","7201 Melrose Ln",0,4,35.4675602,-97.5164276,4
"July 16, 2018","Florida","Palm Beach Gardens (Riviera Beach)","2100 block of W 28th St",2,4,26.7753405,-80.0580969,6
"July 16, 2018","Pennsylvania","Philadelphia","2100 block of N 4th St",1,4,39.9525839,-75.1652215,5
"July 16, 2018","District of Columbia","Washington","300 block of 53rd St NE",1,4,38.9071923,-77.0368707,5
"July 15, 2018","Colorado","Denver","50th Ave and Grant St",0,4,39.7392358,-104.990251,4
"July 15, 2018","Tennessee","Chattanooga","1400 Cowart St",0,5,35.0456297,-85.3096801,5
"July 14, 2018","Maryland","Fort Washington","9500 block of Fort Foote Rd",0,4,38.7073379,-77.0230313,4
"July 13, 2018","Virginia","Richmond","1401 Roseneath Rd",1,3,37.5407246,-77.4360481,4
"July 12, 2018","Tennessee","Memphis","3678 Powers Rd",0,5,35.1495343,-90.0489801,5
"July 11, 2018","Texas","Houston","9550 Bissonnet St",0,4,29.7604267,-95.3698028,4
"July 11, 2018","Florida","Reddick","16300 block of NW Gainesville Rd",0,4,29.3666393,-82.1973184,4
"July 9, 2018","Delaware","Wilmington","2709 Ferris Rd",5,0,39.744655,-75.5483909,5
"July 9, 2018","Florida","Orlando","Southland Blvd and Orange Blossom Trail",1,4,28.5383355,-81.3792365,5
"July 8, 2018","Alabama","Brandon","565 US-80",0,6,34.7581567,-85.6042105,6
"July 8, 2018","Tennessee","Memphis","Mount Moriah Rd and Mendenhall Rd",0,4,35.1495343,-90.0489801,4
"July 7, 2018","Alabama","Wetumpka","135 Granite Way",3,2,32.5437448,-86.2119127,5
"July 5, 2018","New York","Brooklyn","280 Herkimer St",0,4,40.6781784,-73.9441579,4
"July 5, 2018","New York","Albany","First St and Lexington Ave",0,4,42.6525793,-73.7562317,4
"July 5, 2018","California","Los Angeles","1600 block of W. 2nd Street",3,3,34.0522342,-118.2436849,6
"July 5, 2018","Virginia","Virginia Beach","1800 block of Atlantic Ave",0,6,36.8529263,-75.977985,6
"July 5, 2018","Ohio","Lima","1440 Bellefontaine Ave",1,5,40.742551,-84.1052256,6
"July 4, 2018","Indiana","Gary","3400 block of Pierce St",1,3,41.6020403,-87.3371523,4
"July 4, 2018","Georgia","Atlanta","5456 E Fayetteville Rd",1,3,33.7489954,-84.3879824,4
"July 3, 2018","Missouri","Saint Louis","1700 block of Billups Ave",1,5,38.6270025,-90.1994042,6
"July 3, 2018","District of Columbia","Washington","1700 block of Benning Rd NE",0,4,38.9071923,-77.0368707,4
"July 2, 2018","New York","Buffalo","Grape St",2,2,42.8864468,-78.8783689,4
"July 1, 2018","Illinois","Chicago","3400 block of W Walnut Ave",0,6,41.8781136,-87.6297982,6
"June 30, 2018","Georgia","Ashburn","800 Block of W. Washington",1,6,31.7060134,-83.653224,7
"June 30, 2018","Maryland","Baltimore","4000 block of Penhurst Ave",0,6,39.2903848,-76.6121893,6
"June 30, 2018","New Jersey","Jersey City","Lexington Ave and John F Kennedy Blvd",0,5,40.7177545,-74.0431435,5
"June 28, 2018","Maryland","Annapolis","888 Bestgate Rd",5,0,38.9784453,-76.4921829,5
"June 27, 2018","California","Oakland","8901 MacArthur Boulevard",1,3,37.8043637,-122.2711137,4
"June 27, 2018","Texas","San Antonio","100 block of Holly Street",0,4,29.4241219,-98.4936282,4
"June 27, 2018","Connecticut","Hartford","124 Hillside Ave",0,4,41.7658043,-72.6733723,4
"June 25, 2018","Illinois","Chicago","3900 block of S Vincennes Ave",0,6,41.8781136,-87.6297982,6
"June 24, 2018","North Carolina","Sanford","109 S Steele St",1,6,35.4798757,-79.1802994,7
"June 24, 2018","Florida","Punta Gorda","2450 Harbour Dr",0,4,26.9297836,-82.0453664,4
"June 24, 2018","Florida","Indiantown","17068 SW Palm Beach St",0,4,27.0272756,-80.4856083,4
"June 24, 2018","Florida","Palm Beach Gardens (Riviera Beach)","1200 block of W 35th St",1,3,26.7753405,-80.0580969,4
"June 24, 2018","Ohio","Sandusky","1504 Milan Rd",0,5,41.4561754,-82.7116821,5
"June 24, 2018","Indiana","Gary","2500 block of Harrison Street",1,3,41.6020403,-87.3371523,4
"June 23, 2018","Kansas","Wichita","1403 Harding  St",0,4,37.6871761,-97.330053,4
"June 23, 2018","Illinois","Chicago","100 block of East 51st St",1,4,41.8781136,-87.6297982,5
"June 23, 2018","Tennessee","Covington","319 N High St",0,4,35.5762326,-89.6534029,4
"June 22, 2018","Pennsylvania","Homestead (Munhall)","1324 Margaret St",1,3,40.4059025,-79.9119948,4
"June 21, 2018","California","San Bernardino","279 W Base Line",1,3,34.1083449,-117.2897652,4
"June 21, 2018","Louisiana","Morganza","Deaton Ln",0,4,30.738518,-91.5942819,4
"June 21, 2018","Illinois","Chicago","6500 block of S Claremont Ave",0,4,41.8781136,-87.6297982,4
"June 20, 2018","California","Modesto","2300 block of West Hatch Road",0,5,37.6390972,-120.9968782,5
"June 19, 2018","Alabama","Huntsville","905 Lee Dr NW",0,4,34.7303688,-86.5861037,4
"June 18, 2018","Illinois","Bloomington","311 Riley Dr",3,1,40.4842027,-88.9936873,4
"June 18, 2018","Illinois","Chicago","1300 block of S Loomis St",2,3,41.8781136,-87.6297982,5
"June 17, 2018","North Carolina","Charlotte","3215 Queen City Dr",0,4,35.2270869,-80.8431267,4
"June 17, 2018","New Jersey","Trenton","635 S Clinton Ave",1,19,40.2205824,-74.759717,20
"June 17, 2018","Georgia","Macon","325 Edgewood Ln",1,3,32.8406946,-83.6324022,4
"June 17, 2018","Illinois","Chicago","2200 block of S Sacramento Ave",0,4,41.8781136,-87.6297982,4
"June 14, 2018","Pennsylvania","Philadelphia","400 block of Penn St",0,4,39.9525839,-75.1652215,4
"June 14, 2018","California","Union City","32992 Mission Blvd",0,5,37.5933918,-122.0438298,5
"June 14, 2018","California","Tracy","West 6th Street",1,4,37.7396513,-121.4252227,5
"June 14, 2018","New York","Buffalo","Marigold Ave",1,4,42.8864468,-78.8783689,5
"June 14, 2018","Colorado","Westminster","5150 W 80th Ave",1,3,39.8366528,-105.0372046,4
"June 12, 2018","New York","Bronx","W 166th St and  Summit Ave",0,4,40.8447819,-73.8648268,4
"June 11, 2018","Alabama","Montgomery","3220 block of Virginia Pines Ln",0,4,32.3792233,-86.3077368,4
"June 11, 2018","Florida","Orlando","4932 Eaglesmere Dr",5,1,28.5383355,-81.3792365,6
"June 10, 2018","Florida","Bradenton","5627 14th St W",1,5,27.4989278,-82.5748194,6
"June 10, 2018","California","Valley Village","12719 Tiara St",0,6,34.1633045,-118.3841777,6
"June 10, 2018","Indiana","Indianapolis (Lawrence)","4745 N Richardt Ave",1,4,39.8386516,-86.0252612,5
"June 10, 2018","Illinois","Aurora","300 block of W Park Ave",0,7,41.7605849,-88.3200715,7
"June 10, 2018","Illinois","Bloomington","1200 block of Orchard Rd",2,2,40.4842027,-88.9936873,4
"June 10, 2018","Illinois","Chicago","6400 block of S Eberhart Ave",1,5,41.8781136,-87.6297982,6
"June 9, 2018","Massachusetts","Boston","14 Copeland St",0,4,42.3600825,-71.0588801,4
"June 9, 2018","North Carolina","Kannapolis","1709 S Cannon Blvd",0,4,35.4873613,-80.6217341,4
"June 9, 2018","Pennsylvania","Philadelphia","2000 block of 20th St",1,4,39.9525839,-75.1652215,5
"June 5, 2018","Florida","Jacksonville","Town Center Pkwy",3,1,30.3321838,-81.655651,4
"June 3, 2018","Texas","Dallas","4500 Spring Ave",0,5,32.7766642,-96.7969879,5
"June 3, 2018","Illinois","Chicago","1200 block of W 73rd Pl",1,3,41.8781136,-87.6297982,4
"June 2, 2018","Nebraska","Omaha","S 11th St and Farnam St",1,6,41.2565369,-95.9345034,7
"June 2, 2018","New York","Buffalo","Strauss Street",0,5,42.8864468,-78.8783689,5
"May 31, 2018","South Carolina","Timmonsville","544 Chaney Grove Rd",3,2,34.1348782,-79.9397885,5
"May 27, 2018","Louisiana","Shreveport","857 E Stoner Ave",0,4,32.5251516,-93.7501789,4
"May 27, 2018","Colorado","Aurora","15373 E 6th Ave",1,3,39.7294319,-104.8319195,4
"May 25, 2018","Ohio","Cincinnati","1000 block of Ross Avenue",0,4,39.1031182,-84.5120196,4
"May 20, 2018","Indiana","Anderson","1604 Madison Ave",0,4,40.1053196,-85.6802541,4
"May 20, 2018","Mississippi","Hazlehurst","513 Monticello St",1,7,31.8604382,-90.3959255,8
"May 18, 2018","Texas","Santa Fe","16000 Hwy 6",10,13,29.3780129,-95.1057625,23
"May 16, 2018","Texas","Ponder","610 Lone Star Park Ln",5,1,33.1828974,-97.2872402,6
"May 14, 2018","Maryland","Baltimore","2020 Etting St",0,4,39.2903848,-76.6121893,4
"May 13, 2018","California","Stockton","2436 Belleview Street",3,2,37.9577016,-121.2907796,5
"May 13, 2018","Mississippi","Byhalia","French Rd and Berta Rd",0,4,34.8723179,-89.6906396,4
"May 13, 2018","California","Los Angeles","365 W Manchester Avenue",2,2,34.0522342,-118.2436849,4
"May 12, 2018","Nebraska","Omaha","3201 Decatur St",0,6,41.2565369,-95.9345034,6
"May 12, 2018","New Jersey","Paulsboro","275 W Buck St",0,4,39.830391,-75.2404607,4
"May 11, 2018","Missouri","Saint Louis","4800 block of Farlin Ave",0,4,38.6270025,-90.1994042,4
"May 11, 2018","Oklahoma","Talihina","2nd St and Dallas St",1,4,34.7514893,-95.0480162,5
"May 9, 2018","Nebraska","Omaha","Sahler St and N 48th St",0,4,41.2565369,-95.9345034,4
"May 9, 2018","Missouri","Saint Louis","5200 block of Minerva Avenue",0,4,38.6270025,-90.1994042,4
"May 7, 2018","California","San Diego","15th St and J St",0,5,32.715738,-117.1610838,5
"May 6, 2018","Oklahoma","Stillwater","2020 East Lakeview Road",0,4,36.1156071,-97.0583681,4
"May 6, 2018","Tennessee","Memphis","499 North Watkins",2,4,35.1495343,-90.0489801,6
"May 5, 2018","Georgia","Columbus","4944 Sentry Street",0,5,32.4609764,-84.9877094,5
"May 4, 2018","North Carolina","Henderson","519 Hilliard St",0,4,36.3295905,-78.3991638,4
"May 4, 2018","Illinois","Chicago Heights","200 block of E 23rd St",0,4,41.506146,-87.6355995,4
"May 2, 2018","Illinois","Chicago","3500 block of W Grenshaw St",1,4,41.8781136,-87.6297982,5
"May 2, 2018","Minnesota","Minneapolis","2400 block of Ogema Place",0,6,44.977753,-93.2650108,6
"May 2, 2018","New York","Brooklyn","Bristol St",1,4,40.6781784,-73.9441579,5
"May 1, 2018","Louisiana","New Orleans","3200 block of Saint Claude Ave",0,5,29.9510658,-90.0715323,5
"April 30, 2018","Florida","Pompano Beach","4251 N Dixie Hwy",0,4,26.2378597,-80.1247667,4
"April 30, 2018","District of Columbia","Washington","3600 block of New York Ave NE",0,4,38.9071923,-77.0368707,4
"April 29, 2018","Tennessee","Wartburg","519 South Kingston St",0,4,36.1047979,-84.597162,4
"April 29, 2018","Washington","Seattle (Skyway)","12603 Renton Ave S",2,2,47.4924182,-122.2391064,4
"April 29, 2018","North Carolina","Monroe","1500 block of Massey St",1,3,34.9854275,-80.5495112,4
"April 29, 2018","Florida","West Palm Beach","1969 S Military Trail",1,3,26.7153424,-80.0533746,4
"April 28, 2018","North Carolina","Maxton","Modest Rd",0,5,34.7351614,-79.3489317,5
"April 25, 2018","Arkansas","Pine Bluff","300 block of West 24th Street",0,4,34.2284312,-92.0031955,4
"April 25, 2018","Missouri","Saint Louis","1151 Northdale Dr",3,1,38.6270025,-90.1994042,4
"April 24, 2018","Michigan","Flint","2200 block of Ave A",0,4,43.0125274,-83.6874562,4
"April 22, 2018","Tennessee","Antioch","3571 Murfreesboro Pike",4,3,36.0597177,-86.6715948,7
"April 22, 2018","Louisiana","New Orleans","1900 block of St Roch Ave",1,5,29.9510658,-90.0715323,6
"April 21, 2018","Pennsylvania","Philadelphia","1800 block of W Diamond St",2,2,39.9525839,-75.1652215,4
